name,url
Kingdom Hearts HD I.5 + II.5 Remix,https://www.metacritic.com/game/playstation-4/kingdom-hearts-hd-i5-+-ii5-remix
Middle-earth: Shadow of Mordor,https://www.metacritic.com/game/playstation-4/middle-earth-shadow-of-mordor
Guilty Gear Xrd -SIGN-,https://www.metacritic.com/game/playstation-4/guilty-gear-xrd--sign-
BlazBlue: Central Fiction,https://www.metacritic.com/game/playstation-4/blazblue-central-fiction
Salt and Sanctuary,https://www.metacritic.com/game/playstation-4/salt-and-sanctuary
Dark Souls Remastered,https://www.metacritic.com/game/playstation-4/dark-souls-remastered
Day of the Tentacle Remastered,https://www.metacritic.com/game/playstation-4/day-of-the-tentacle-remastered
ZEN Pinball 2: South Park: Super-Sweet Pinball,https://www.metacritic.com/game/playstation-4/zen-pinball-2-south-park-super-sweet-pinball
DiRT Rally 2.0,https://www.metacritic.com/game/playstation-4/dirt-rally-20
Deus Ex: Mankind Divided,https://www.metacritic.com/game/playstation-4/deus-ex-mankind-divided
Thumper,https://www.metacritic.com/game/playstation-4/thumper
Axiom Verge,https://www.metacritic.com/game/playstation-4/axiom-verge
Polybius,https://www.metacritic.com/game/playstation-4/polybius
Uncharted: The Lost Legacy,https://www.metacritic.com/game/playstation-4/uncharted-the-lost-legacy
Wargroove,https://www.metacritic.com/game/playstation-4/wargroove
SoulCalibur VI,https://www.metacritic.com/game/playstation-4/soulcalibur-vi
ZEN Pinball 2: Aliens Vs. Pinball,https://www.metacritic.com/game/playstation-4/zen-pinball-2-aliens-vs-pinball
Hatsune Miku: Project Diva Future Tone - Colorful Tone,https://www.metacritic.com/game/playstation-4/hatsune-miku-project-diva-future-tone---colorful-tone
Hatsune Miku: Project Diva Future Tone - Future Sound,https://www.metacritic.com/game/playstation-4/hatsune-miku-project-diva-future-tone---future-sound
Resogun,https://www.metacritic.com/game/playstation-4/resogun
F1 2019,https://www.metacritic.com/game/playstation-4/f1-2019
Lara Croft GO,https://www.metacritic.com/game/playstation-4/lara-croft-go
Oddworld: Abe's Oddysee - New 'n' Tasty,https://www.metacritic.com/game/playstation-4/oddworld-abes-oddysee---new-n-tasty
Hitman - Episode 2: Sapienza,https://www.metacritic.com/game/playstation-4/hitman---episode-2-sapienza
BioShock: The Collection,https://www.metacritic.com/game/playstation-4/bioshock-the-collection
Hitman,https://www.metacritic.com/game/playstation-4/hitman
Sayonara Wild Hearts,https://www.metacritic.com/game/playstation-4/sayonara-wild-hearts
FIFA 18,https://www.metacritic.com/game/playstation-4/fifa-18
Final Fantasy X / X-2 HD Remaster,https://www.metacritic.com/game/playstation-4/final-fantasy-x-x-2-hd-remaster
Trine 2: Complete Story,https://www.metacritic.com/game/playstation-4/trine-2-complete-story
Assassin's Creed Origins: The Curse of the Pharaohs,https://www.metacritic.com/game/playstation-4/assassins-creed-origins-the-curse-of-the-pharaohs
DmC: Devil May Cry Definitive Edition,https://www.metacritic.com/game/playstation-4/dmc-devil-may-cry-definitive-edition
Disgaea 1 Complete,https://www.metacritic.com/game/playstation-4/disgaea-1-complete
Pro Evolution Soccer 2018,https://www.metacritic.com/game/playstation-4/pro-evolution-soccer-2018
Call of Duty: Black Ops 4,https://www.metacritic.com/game/playstation-4/call-of-duty-black-ops-4
Guacamelee! 2,https://www.metacritic.com/game/playstation-4/guacamelee!-2
FAR: Lone Sails,https://www.metacritic.com/game/playstation-4/far-lone-sails
Bloodstained: Ritual of the Night,https://www.metacritic.com/game/playstation-4/bloodstained-ritual-of-the-night
Assassin's Creed IV: Black Flag,https://www.metacritic.com/game/playstation-4/assassins-creed-iv-black-flag
Crash Team Racing: Nitro-Fueled,https://www.metacritic.com/game/playstation-4/crash-team-racing-nitro-fueled
Kingdom Hearts III,https://www.metacritic.com/game/playstation-4/kingdom-hearts-iii
Red Dead Redemption 2,https://www.metacritic.com/game/xbox-one/red-dead-redemption-2
Grand Theft Auto V,https://www.metacritic.com/game/xbox-one/grand-theft-auto-v
Metal Gear Solid V: The Phantom Pain,https://www.metacritic.com/game/xbox-one/metal-gear-solid-v-the-phantom-pain
Celeste,https://www.metacritic.com/game/xbox-one/celeste
Resident Evil 2,https://www.metacritic.com/game/xbox-one/resident-evil-2
INSIDE,https://www.metacritic.com/game/xbox-one/inside
Forza Horizon 4,https://www.metacritic.com/game/xbox-one/forza-horizon-4
Divinity: Original Sin II - Definitive Edition,https://www.metacritic.com/game/xbox-one/divinity-original-sin-ii---definitive-edition
What Remains of Edith Finch,https://www.metacritic.com/game/xbox-one/what-remains-of-edith-finch
The Witcher 3: Wild Hunt,https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt
Overwatch,https://www.metacritic.com/game/xbox-one/overwatch
Sekiro: Shadows Die Twice,https://www.metacritic.com/game/xbox-one/sekiro-shadows-die-twice
Forza Horizon 3,https://www.metacritic.com/game/xbox-one/forza-horizon-3
Dead Cells,https://www.metacritic.com/game/xbox-one/dead-cells
F1 2020,https://www.metacritic.com/game/xbox-one/f1-2020
Monster Hunter: World - Iceborne,https://www.metacritic.com/game/xbox-one/monster-hunter-world---iceborne
NieR: Automata - Become as Gods Edition,https://www.metacritic.com/game/xbox-one/nier-automata---become-as-gods-edition
Monster Hunter: World,https://www.metacritic.com/game/xbox-one/monster-hunter-world
Ori and the Will of the Wisps,https://www.metacritic.com/game/xbox-one/ori-and-the-will-of-the-wisps
NBA 2K17,https://www.metacritic.com/game/xbox-one/nba-2k17
Yakuza 0,https://www.metacritic.com/game/xbox-one/yakuza-0
F1 2019,https://www.metacritic.com/game/xbox-one/f1-2019
Dark Souls II: Scholar of the First Sin,https://www.metacritic.com/game/xbox-one/dark-souls-ii-scholar-of-the-first-sin
Stardew Valley,https://www.metacritic.com/game/xbox-one/stardew-valley
Destiny: The Taken King,https://www.metacritic.com/game/xbox-one/destiny-the-taken-king
Injustice 2,https://www.metacritic.com/game/xbox-one/injustice-2
Fallout 4,https://www.metacritic.com/game/xbox-one/fallout-4
N++,https://www.metacritic.com/game/xbox-one/n++
Wolfenstein II: The New Colossus,https://www.metacritic.com/game/xbox-one/wolfenstein-ii-the-new-colossus
Divinity: Original Sin Enhanced Edition,https://www.metacritic.com/game/xbox-one/divinity-original-sin-enhanced-edition
FIFA 14,https://www.metacritic.com/game/xbox-one/fifa-14
Ori and the Blind Forest: Definitive Edition,https://www.metacritic.com/game/xbox-one/ori-and-the-blind-forest-definitive-edition
Dishonored 2,https://www.metacritic.com/game/xbox-one/dishonored-2
